,Entry_Date,BANKNIFTY,Days To Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_price,CE_Exit_Time,PE_Symbol,PE_Entry_Price,PE_Exit_price,PE_Exit_Time,PnL
0,2022-01-03,36564.8008,4,BANKNIFTY06JAN2236200CE,138.4,181.15,10:30:00,BANKNIFTY06JAN2235300PE,190.3,48.7,15:15:00,2471.2500000000005
1,2022-01-04,36940.1484,3,BANKNIFTY06JAN2237000CE,107.55,144.55,09:17:00,BANKNIFTY06JAN2236200PE,172.2,61.2,15:15:00,1849.999999999999
2,2022-01-05,37828.6016,2,BANKNIFTY06JAN2237200CE,86.9,113.75,09:17:00,BANKNIFTY06JAN2236600PE,118.15,17.25,15:15:00,1851.25
3,2022-01-06,37615.0,1,BANKNIFTY06JAN2237700CE,73.9,0.35,15:15:00,BANKNIFTY06JAN2237200PE,106.7,139.7,09:17:00,1013.7500000000006
4,2022-01-07,37806.1992,7,BANKNIFTY13JAN2238500CE,189.95,259.2,09:30:00,BANKNIFTY13JAN2237300PE,250.0,325.0,12:42:00,-3606.25
5,2022-01-10,38466.25,4,BANKNIFTY13JAN2238700CE,188.7,198.45,15:15:00,BANKNIFTY13JAN2237700PE,226.0,118.2,15:15:00,2451.25
6,2022-01-11,38525.0,3,BANKNIFTY13JAN2239000CE,123.55,79.25,15:15:00,BANKNIFTY13JAN2238100PE,204.0,266.25,09:35:00,-448.75
7,2022-01-12,38874.5508,2,BANKNIFTY13JAN2239100CE,115.9,63.55,15:15:00,BANKNIFTY13JAN2238400PE,136.5,73.35,15:15:00,2887.5000000000005
8,2022-01-13,38615.5,1,BANKNIFTY13JAN2238900CE,49.1,0.25,15:15:00,BANKNIFTY13JAN2238400PE,94.9,0.55,15:15:00,3580.0
9,2022-01-14,38493.3516,7,BANKNIFTY20JAN2238800CE,199.15,261.15,15:04:00,BANKNIFTY20JAN2237600PE,241.15,140.45,15:15:00,967.5000000000011
10,2022-01-17,38368.0,4,BANKNIFTY20JAN2239000CE,155.15,102.55,15:15:00,BANKNIFTY20JAN2238000PE,218.65,216.25,15:15:00,1375.0000000000005
11,2022-01-18,38201.3984,3,BANKNIFTY20JAN2238800CE,120.65,159.55,12:21:00,BANKNIFTY20JAN2237900PE,152.05,201.05,15:13:00,-2197.5
12,2022-01-19,38177.3984,2,BANKNIFTY20JAN2238400CE,107.15,146.0,09:27:00,BANKNIFTY20JAN2237700PE,149.2,58.0,15:15:00,1308.7499999999995
13,2022-01-20,38053.8008,1,BANKNIFTY20JAN2238300CE,61.95,0.45,15:15:00,BANKNIFTY20JAN2237900PE,77.55,101.35,10:43:00,942.5000000000001
14,2022-01-21,37599.0,7,BANKNIFTY27JAN2238100CE,196.8,267.35,13:12:00,BANKNIFTY27JAN2237000PE,248.0,325.0,09:26:00,-3688.75
15,2022-01-24,37055.6016,4,BANKNIFTY27JAN2238100CE,178.1,83.0,15:15:00,BANKNIFTY27JAN2237100PE,211.2,277.45,11:47:00,721.25
16,2022-01-25,37758.5,3,BANKNIFTY27JAN2237200CE,189.05,256.8,09:25:00,BANKNIFTY27JAN2236000PE,212.35,20.25,15:15:00,3108.75
17,2022-01-27,38010.0,1,BANKNIFTY27JAN2237500CE,95.3,125.5,09:24:00,BANKNIFTY27JAN2236800PE,131.5,0.25,15:15:00,2526.25
18,2022-01-28,37878.5,7,BANKNIFTY03FEB2239500CE,319.95,174.65,15:15:00,BANKNIFTY03FEB2237600PE,374.1,533.6,09:23:00,-355.00000000000045
19,2022-01-31,38159.8008,4,BANKNIFTY03FEB2239100CE,301.7,319.6,15:15:00,BANKNIFTY03FEB2237400PE,356.8,499.2,10:00:00,-4007.5000000000005
20,2022-02-01,38628.25,3,BANKNIFTY03FEB2239300CE,305.6,403.8,09:23:00,BANKNIFTY03FEB2237500PE,371.0,71.55,15:15:00,5031.25
21,2022-02-02,39448.5508,2,BANKNIFTY03FEB2239400CE,143.4,199.45,14:34:00,BANKNIFTY03FEB2238500PE,176.85,28.45,15:15:00,2308.7500000000005
22,2022-02-03,39167.6016,1,BANKNIFTY03FEB2239600CE,67.25,0.25,15:15:00,BANKNIFTY03FEB2239200PE,93.25,141.85,09:17:00,460.0000000000002
23,2022-02-04,38821.25,7,BANKNIFTY10FEB2239700CE,187.55,251.05,09:27:00,BANKNIFTY10FEB2238500PE,259.55,345.55,12:11:00,-3737.5
24,2022-02-07,38090.0,4,BANKNIFTY10FEB2239300CE,179.4,60.2,15:15:00,BANKNIFTY10FEB2238200PE,233.0,306.65,11:24:00,1138.7500000000005
25,2022-02-08,38166.1484,3,BANKNIFTY10FEB2238700CE,160.6,89.85,15:15:00,BANKNIFTY10FEB2237800PE,205.6,300.6,09:24:00,-606.2500000000009
26,2022-02-09,38701.75,2,BANKNIFTY10FEB2238700CE,105.3,137.05,09:25:00,BANKNIFTY10FEB2238000PE,142.85,33.6,15:15:00,1937.4999999999995
27,2022-02-10,39065.0,1,BANKNIFTY10FEB2239000CE,70.4,102.75,10:31:00,BANKNIFTY10FEB2238500PE,97.8,135.15,09:19:00,-1742.5
28,2022-02-11,38593.9492,7,BANKNIFTY17FEB2239200CE,195.45,143.85,15:15:00,BANKNIFTY17FEB2238100PE,236.55,319.1,10:15:00,-773.7500000000007
29,2022-02-14,36954.0508,4,BANKNIFTY17FEB2238300CE,204.2,51.6,15:15:00,BANKNIFTY17FEB2236900PE,276.85,413.8,09:17:00,391.25000000000045
30,2022-02-15,38226.1484,3,BANKNIFTY17FEB2237600CE,207.6,271.45,13:38:00,BANKNIFTY17FEB2236400PE,229.0,25.75,15:15:00,3485.0
31,2022-02-16,37896.1484,2,BANKNIFTY17FEB2238700CE,133.8,32.45,15:15:00,BANKNIFTY17FEB2238000PE,140.55,197.25,09:23:00,1116.2500000000002
32,2022-02-17,37497.3516,1,BANKNIFTY17FEB2238300CE,76.1,0.45,15:15:00,BANKNIFTY17FEB2237800PE,81.9,112.0,09:26:00,1138.75
33,2022-02-18,37577.3984,7,BANKNIFTY24FEB2238100CE,262.0,341.55,09:33:00,BANKNIFTY24FEB2236600PE,332.8,235.5,15:15:00,443.7500000000002
34,2022-02-21,37590.25,4,BANKNIFTY24FEB2238100CE,221.6,291.3,11:15:00,BANKNIFTY24FEB2236800PE,267.1,180.4,15:15:00,425.0
35,2022-02-22,37367.1992,3,BANKNIFTY24FEB2237700CE,209.95,282.85,14:10:00,BANKNIFTY24FEB2236400PE,308.75,123.35,15:15:00,2812.499999999999
36,2022-02-23,37417.1484,2,BANKNIFTY24FEB2238000CE,135.35,49.05,15:15:00,BANKNIFTY24FEB2237200PE,162.85,149.5,15:15:00,2491.25
37,2022-02-24,35300.4492,1,BANKNIFTY24FEB2236800CE,161.35,0.35,15:15:00,BANKNIFTY24FEB2235900PE,221.2,293.95,14:54:00,2206.25
